product_name,raw_category,ondc_domain,district
Jonna Biscuits (Millets)-250Gms,Food,RET10,Kadapa
Bhuvanesh Swagruha Homemades Garlic Chilli Powder 100g,Kitchen,RET16,Kadapa
Korra Biscuits 250 Gms,Food,RET10,Kadapa
Ragi biscuits,Food,RET10,Kadapa
Munagaku Murukulu 250gm,Food,RET10,Kadapa
Konda's Chilli Powder,Kitchen,RET16,Kadapa
Sajja Biscuits - 250gms,Food,RET10,Kadapa
sonchiriya yellow printed jute hand held bag,Home Décor,RET16,Kadapa
Balaji Heroes Incense Dhoop Sticks,Pooja,RET16,Kadapa
Amruthaa Home Foods Sunni Undalu,Food,RET10,Kadapa
sonchiriya wire hand held bag,Home Décor,RET16,Kadapa
Bhuvanesh Swagruha Homemades Sambhar Powder 100g,Kitchen,RET16,Kadapa
Bhuvanesh Swagriha Home Foods Curry Leaves Powder (100g),Kitchen,RET16,Kadapa
Korra Sev 250 Grm,Food,RET10,Kadapa
Munagaku Sev 250 Grm,Food,RET10,Kadapa
Red and Gold Glass Bangles for Women and Girls - Set of 12,Jewellary,RET12,Kadapa
Kalankari Samosa Handbag,Home Décor,RET16,Kadapa
sonchiriya yellow wire hand held bag,Home Décor,RET16,Kadapa
Bhuvanesh Swagriha Home Foods Chinta Kaya Pachadi,Food,RET10,Kadapa
Jute Carry Bag with Floral Print,Home Décor,RET16,Kadapa
Bhuvanesh Swagruha Home Foods Jonnala Palalu 250g,Food,RET10,Kadapa
Bhuvanesh Homemades Aviseginjala Podi (100g),food,RET10,Kadapa
Bhuvanesh Swagriha Homemades Pulihora Podi 100g,food,RET10,Kadapa
Munagaaku Podi Online at Best Price in India | Bhuvanesh Swagruha Homemades,food,RET10,Kadapa
Kalankari Shoulder Bag with Zipper Closure,Home Décor,RET16,Kadapa
Black Floral Kalankari Zipper Pouch,Fashion,RET12,Kadapa
"Pack of 2 - Brasso Copper, Silver Shining Powder 500g",Kitchen,RET16,Kadapa
Curry Leaves Sev,Food,RET10,Kadapa
 Black and Yellow Paisley Print Small Zippered Coin Purse Wallet,Fashion,RET12,Kadapa
SRINIVASA Lungi - Peach and Cream Border for Men,hand looms,RET12,Kadapa
Buy Bhuvanesh Swagriha Homemades Lemon Pachadi,Food,RET10,Kadapa
GONGURA PICKLE 100G,Kitchen,RET16,Kadapa
GINGER PICKLE 100G,Kitchen,RET16,Kadapa
Jute Tote Bag with Floral Print,Home Décor,RET16,Kadapa
Red Canvas Tote Bag with Zippered Closure and Interior Pocket,Home Décor,RET16,Kadapa
Lion Gold Cup Assam Tea Powder,Kitchen,RET16,Kadapa
Bhuvanesh Swagruha Homemades Coriander Powder (100g),Kitchen,RET16,Kadapa
Bhuvanesh Swagruha Homemades Palli Podi (100g),food,RET10,Kadapa
Multigrain Biscuits  250 Gms,Food,RET10,Kadapa
Kitchen Storage Container Basket,Home Décor,RET16,Kadapa
Kalankari Carry Bag Big,Home Décor,RET16,Kadapa
Handmade Jute Clutch with Button Closure and Floral Print,Home Décor,RET16,Kadapa
Handmade Clay Diya Oil Lamps for Diwali Decoration - Set of 6,Pooja,RET16,Kadapa
Handmade Colorful Plastic Woven Tote Bag,Home Décor,RET16,Kadapa
Sonchiriya orange jute hand held bag,Home Décor,RET16,Kadapa
Sonchiriya Red floral Hand Held bag,Home Décor,RET16,Kadapa
Sonchiriya Jute Hand Pouch,Fashion,RET12,Kadapa
Sonchiriya Green women jute Pouch,Fashion,RET12,Kadapa
Sonchiriya Orange jute hand held bag,Home Décor,RET16,Kadapa
Traditional Mangalsutra Black Beeds Short Chain For Women,Jewellary,RET12,Kadapa
One Gram Gold Plated Earrings for Women,Jewellary,RET12,Kadapa
Konda's Coriander Powder,Kitchen,RET16,Kadapa
Plastic Broom with Long Handle for Indoor and Outdoor Sweeping,Home Décor,RET16,Kadapa
The beautiful Oskar Silk Saree With Blouse,Fashion,RET12,Kadapa
Hand-painted starfish design jute tote bag,Home Décor,RET16,Kadapa
KOTTIMIRA PICKLE 100G,Kitchen,RET16,Kadapa
Red Hand Embroidered Mirror Work Ethnic Potli Bag,Home Décor,RET16,Kadapa
Yellow Hand Embroidered Cotton Potli Bag with Mirror Work and Tassels for Women,Home Décor,RET16,Kadapa
Bhuvanesh Swagruha Home Foods Kandhi Podi (100g),Food,RET10,Kadapa
Korra Sugar Free Biscuits 250 Gms,Food,RET10,Kadapa
Blue Kitchen Storage Container Lightweight Product,Kitchen,RET16,Kadapa
Handmade Jute Clutch with Dual Zipper Compartment and Floral Print,Home Décor,RET16,Kadapa
Orange Hand Embroidered Cotton Potli Bag,Home Décor,RET16,Kadapa
Dry Fruit Laddu,Food,RET10,Kadapa
Korra Sugar Free Biscuits,Food,RET10,Kadapa
sonchiriya peacock jute hand held bag,Home Décor,RET16,Kadapa
sonchiriya green printed jute hand held bag,Home Décor,RET16,Kadapa
Balaji Champa Flower Incense Dhoop Sticks,Pooja,RET16,Kadapa
Balaji Mogra Flower Incense Dhoop Sticks,Pooja,RET16,Kadapa
Cotton Lungi with Checks - Blue Colour,hand looms,RET12,Kadapa
Gold Plated Traditional Mangalsutra Black Beeds Short Chain For Women,Jewellary,RET12,Kadapa
"Handmade Clay Cooking Pot with Lid for Healthy Cooking, safe for easy cleanup.",Floor cleners,RET10,Kadapa
Snak Fit Nuvvula Laddu - 250 gms,Food,RET10,Kadapa
Avise Laddu - A Healthy and Delicious Snack Made with Millets,Food,RET10,Kadapa
Touch Me Incense Sticks - Nature's Fragrance,Pooja,RET16,Kadapa
Srinivasa White Cotton Lungi with Green Border for Men,hand looms,RET12,Kadapa
Sri Srinivasa Pure Cotton Panchas for Mens,hand looms,RET12,Kadapa
Srinivasa Cotton Pancha with Checks - White and Brown,hand looms,RET12,Kadapa
Mineral Green Cotton Petticoat,Fashion,RET12,Kadapa
Blue and Green Handbag with Beaded Strap,Home Décor,RET16,Kadapa
Men's Slip-On Sandals for Boy's,Fashion,RET12,Kadapa
Gold Plated Bangles Set of 4 with Floral Design Size 2-10,Jewellary,RET12,Kadapa
Gold Plated Bangles Set of 4 with Floral Design Size 2-4,Jewellary,RET12,Kadapa
BLUE LUNCH BAG,Home Décor,RET16,Kadapa
Go Green Jute Carry Bag,Home Décor,RET16,Kadapa
Eco-friendly and Reusable Jute Tote Bag with Colorful Indian Musical Instruments Design,Home Décor,RET16,Kadapa
Jute Tote Bag with Colorful Patchwork Design and Zippered Top,Home Décor,RET16,Kadapa
3D Handmade Miniature Crochet Basket - Orange and Green,Home Décor,RET16,Kadapa
Ginger (Allam) Pickle - 250 Gms,Kitchen,RET16,Kadapa
Jonna Biscuits 250 Gms,Food,RET10,Kadapa
Green Glass Bangles Set with Rhinestones,Jewellary,RET12,Kadapa
Lavender soft and breathable cotton Saree petticoat for women's,Fashion,RET12,Kadapa
Handwoven Duck Shaped Basket with Carrying Handle for Storage and Home Decor,Home Décor,RET16,Kadapa
Cotton Sling Bag Small with Adjustable Strap,Home Décor,RET16,Kadapa
Pink Embroidered Hand Purse Small with Mirror Work,Fashion,RET12,Kadapa
Mint Green Rhinestone Bangles Set of 12,Jewellary,RET12,Kadapa
Gold Plated Bangles Set of 8,Jewellary,RET12,Kadapa
Beautiful Purple Rhinestone Bangle Set of 12,Jewellary,RET12,Kadapa
Pink Floral Print Georgette Saree With Blouse,Fashion,RET12,Kadapa
Handmade Small pink Wire Handbag,Home Décor,RET16,Kadapa
Colorful Handwoven Cotton Door Mat,Home Décor,RET16,Kadapa
Handmade colorful Door Mat,Home Décor,RET16,Kadapa
Handwoven Cotton Door Mat,Home Décor,RET16,Kadapa
Small size Jute bag with Zipper,Home Décor,RET16,Kadapa
Floral printed jute tote bag with blue handles,Home Décor,RET16,Kadapa
 Green Glass Bangles with Golden Rhinestones,Jewellary,RET12,Kadapa
This is a handmade ceramic piggy bank. It is blue with a yellow coin slot. It is perfect for saving money for a special purchase.,Home Décor,RET16,Kadapa
Stunning Pearl and Stone Necklace Set with Floral Pendant and Earrings,Jewellary,RET12,Kadapa
Sri Swagruha Foods Pabbillalu 250g,Food,RET10,Kadapa
Korra Murukulu,Food,RET10,Kadapa
Sonchiriya Go Green Hand held bag,Home Décor,RET16,Kadapa
Sonchiriya Blue Jute Hand Bag,Home Décor,RET16,Kadapa
Balaji PHOOL CHAMPA Premium Dhoop Sticks Jar (120 gms),Pooja,RET16,Kadapa
Balaji HOLIDAY Premium Dhoop Sticks Jar (120 gms),Pooja,RET16,Kadapa
Balaji KEWDA Dhoop Sticks,Pooja,RET16,Kadapa
Balaji Bel Phool Incense Dhoop Sticks,Pooja,RET16,Kadapa
Balaji Bharath Yatra Incense Dhoop Sticks,Pooja,RET16,Kadapa
Balaji Guggal Incense Dhoop Sticks,Pooja,RET16,Kadapa
Cotton Towel with Checks - White and Purple,hand looms,RET12,Kadapa
Pink Glass Bangles with Golden Rhinestones,Jewellary,RET12,Kadapa
Red Glass Bangles with Golden Raine stones,Jewellary,RET12,Kadapa
Gold & White Metal Bangles Set of 4 with Stone Design,Jewellary,RET12,Kadapa
Sky Blue Metal Bangles Set of 4 with Stone Design Size 2-8,Jewellary,RET12,Kadapa
Voilet Metal Stone Bangles Set of 4 with Stone Design,Jewellary,RET12,Kadapa
Traditional Indian One Gram Gold Plated Jhumka Earrings For Women,Jewellary,RET12,Kadapa
Treditional Green Glass Bangles of white stones set of 12,Jewellary,RET12,Kadapa
Mustard Yellow Metal Bangles Set of 4 with Stone Design,Jewellary,RET12,Kadapa
Green Metal Bangles Set of 4 with Stone Design Size 2-8,Jewellary,RET12,Kadapa
White colour Glass Bangles set of 2  Bangles,Jewellary,RET12,Kadapa
Treditional Mustard Yellow Glass Bangles of white stones set of 12,Jewellary,RET12,Kadapa
Gold Plated Necklace Set with Earrings and Maang Tikka for Women,Jewellary,RET12,Kadapa
 Gold-plated Kundan and Pearl Necklace Set with Green Beads,Jewellary,RET12,Kadapa
One Gram Gold Plated Bangle Set as 2,Jewellary,RET12,Kadapa
Handmade Clay Pot with Lid for Cooking and Serving,Home Décor,RET16,Kadapa
Handmade Red and White Pearl Beaded Necklace with Gold Plated,Jewellary,RET12,Kadapa
Small Handwoven Market Bag with Pink Accents,Home Décor,RET16,Kadapa
Gold Plated Maang Tikka,Jewellary,RET12,Kadapa
Gold Plated Maroon Glass Bangles Set for Women,Jewellary,RET12,Kadapa
Green and Gold Bangles with Rhinestones,Jewellary,RET12,Kadapa
Terracotta Goddess Lakshmi Idol | Handmade Clay Statue,Home Décor,RET16,Kadapa
Handcrafted Clay Diya Oil Lamp for Diwali Decoration and Home Decor (Pack of 1),Home Décor,RET16,Kadapa
Handmade Clay Pot with Lid for Cooking and Serving touch of rustic charm to your kitchen.,Home Décor,RET16,Kadapa
Georgette Silk Saree Blouse With Heavy Embroidery Work In Peach And Green Color,Fashion,RET12,Kadapa
Blue Hand Embroidered Blouse with Floral Motifs,Fashion,RET12,Kadapa
Cow and Calf Statue - White with Red Polka Dots - 6 Inches Tall,,MISSING,Kadapa
A Pair of Love Birds Ceramic Figurine,,MISSING,Kadapa
Green Beeswax Candle,Pooja,RET16,Kadapa
"Saba Gold Touch Premium Incense Sticks - 100% Natural, Hand-Rolled",Pooja,RET16,Kadapa
Prem Ratan Cup Sambrani 12 in One Pack,,MISSING,Kadapa
Pink Banarasi Silk Saree With Golden Zari Border Work,Fashion,RET12,Kadapa
Green Banarasi Silk Saree With Zari Woven Floral Butta And Border,Fashion,RET12,Kadapa
Mustard Yellow Pure Handloom Mysore Silk Saree With Green Border,Fashion,RET12,Kadapa
Mustard Yellow Faux Georgette Saree With Stone Work,Fashion,RET12,Kadapa
Blue Floral Saree With Golden Border,Fashion,RET12,Kadapa
Embroidered Butterfly Chiffon Saree with Sequin Work,Fashion,RET12,Kadapa
 Yellow Saree with Golden Zari Border,Fashion,RET12,Kadapa
Blue and White Floral Embroidered Cotton Saree,Fashion,RET12,Kadapa
Cream and red floral printed georgette saree with blouse,Fashion,RET12,Kadapa
Georgette Saree With Blouse Piece,Fashion,RET12,Kadapa
Pink Saree With Blouse,Fashion,RET12,Kadapa
Green Floral Print Saree With Blouse Piece,Fashion,RET12,Kadapa
"Fancy Saree With Blouse Piece, Saree Fabric",Fashion,RET12,Kadapa
"Cotton Dress Material, Floral Print, Blue, 100% Cotton, 44 Inches Wide",hand looms,RET12,Kadapa
Women's Embroidered Chiffon Suit with Cotton Bottom,hand looms,RET12,Kadapa
Gold Plated Filigree Yemenite Style Wedding Necklace Set,Jewellary,RET12,Kadapa
Indian Traditional Gold Plated Wedding Bangles Set of 2 Size 2.6,Jewellary,RET12,Kadapa
Gold Plated Bangles for Women - Set of 4 Size 2.6,Jewellary,RET12,Kadapa
Gold-plated Kundan and pearl choker necklace set with earrings for women,Jewellary,RET12,Kadapa
Gold Plated Kundan Choker Necklace Set with Earrings for Women,Jewellary,RET12,Kadapa
Handmade Green and Brown Plastic Woven Mini Tote Bag with Double Handles,Home Décor,RET16,Kadapa
Medium Handwoven Black and Yellow Tote Bag with Double Handles,Home Décor,RET16,Kadapa
Cream Colour Cotton Petticoat,Fashion,RET12,Kadapa
Blue Cotton Petticoat,Fashion,RET12,Kadapa
Pink Cotton Petticoat,Fashion,RET12,Kadapa
Purple Cotton Petticoat,Fashion,RET12,Kadapa
Light Green Cotton Petticoa,Fashion,RET12,Kadapa
Yellow Cotton Petticoat,Fashion,RET12,Kadapa
Purple Cotton Petticoat,Fashion,RET12,Kadapa
One Gram Gold Plated Floral Hip Belt for Women's,Jewellary,RET12,Kadapa
One Gram Gold Plated Temple Kempu Hip Belt With Lakshmi Devi Pendant,Jewellary,RET12,Kadapa
Women's Blue Cotton Saree Petticoat,Fashion,RET12,Kadapa
Blue Cotton Pancha with White Border - Traditional Wear for Men,hand looms,RET12,Kadapa
Soft Cotton Pancha  - White And Violet Color Combination For Men,hand looms,RET12,Kadapa
SRINIVASA FABRICS - CREAM PANCHA WITH BLUE STRIPES - SOFT AND COMFORTABLE AND ANY OCCASION FOR MENS,hand looms,RET12,Kadapa
Pink Cotton Petticoat,Fashion,RET12,Kadapa
Orange Cotton Petticoat,Fashion,RET12,Kadapa
Green Cotton Petticoat,Fashion,RET12,Kadapa
Handwoven Purple and Blue Plastic Basket Bag with Double Handles,Home Décor,RET16,Kadapa
Colorful Handwoven Plastic Tote Bag,Home Décor,RET16,Kadapa
Beaded Handmade Market Tote Bag with Colorful Geometric Pattern,Home Décor,RET16,Kadapa
Green and Pink Handbag with Beaded Strap,Home Décor,RET16,Kadapa
Pink Handwoven Market Tote Bag,Home Décor,RET16,Kadapa
Handmade Colorful Beaded Tote Bag with Red and Yellow Checkered Pattern,Home Décor,RET16,Kadapa
Blue Handwoven Market Tote Bag with Button Closure,Home Décor,RET16,Kadapa
Red and White Handwoven Market Tote Bag with Button Closure,Home Décor,RET16,Kadapa
Pink and Yello Handbag with Beaded Strap,Home Décor,RET16,Kadapa
Yellow And Blue Party Wear Soft Silk Saree with Blouse Piece,Fashion,RET12,Kadapa
Navy Blue Georgette Saree With Golden Zari Work And Pink Border,Fashion,RET12,Kadapa
Beautiful Small Border Chennai Silks Saree with Blouse piece,Fashion,RET12,Kadapa
Pista Green Linen Saree With Floral Print and Golden Zari Border,Fashion,RET12,Kadapa
Pink Floral With Green Border Georgette Saree with Blouse Piece,Fashion,RET12,Kadapa
Maroon Banarasi Silk Saree with Blouse Piece,Fashion,RET12,Kadapa
Purple Georgette Saree With Golden Zari Boarder,Fashion,RET12,Kadapa
Green and gold zari work banarasi silk saree with red border,Fashion,RET12,Kadapa
"Georgette Saree With Blouse Piece, Party Wear Saree,",Fashion,RET12,Kadapa
Georgette Chiffon Saree With Blouse Piece - Pink,Fashion,RET12,Kadapa
Blue Sequinned Indian Saree With Blouse Piece For Women,Fashion,RET12,Kadapa
Green Beaded Necklace with Gold Plated Beads,Jewellary,RET12,Kadapa
Black and Gold Crystal Beaded Necklace,Jewellary,RET12,Kadapa
Women's Fashionable Embellished Wedges,Home Décor,RET16,Kadapa
Women's Pink and Rose Gold Metallic Striped Slip-On Sandals,Fashion,RET12,Kadapa
Women's Pink Rhinestone Slip-On Sandals,Fashion,RET12,Kadapa
Stunning Multi-Strand Garnet and Gold Necklace with 3-Ball Pendant,Jewellary,RET12,Kadapa
Women's Ethnic Wear Flats,,MISSING,Kadapa
Green Beaded Necklace with Pearl Accents,Jewellary,RET12,Kadapa
Black Beads Necklace with Golden Balls,Jewellary,RET12,Kadapa
Exquisite Gold Pendant with White Beads Necklace Set for Women,Jewellary,RET12,Kadapa
Women's Green Embellished T-Strap Sandals,Fashion,RET12,Kadapa
Exquisite Gold Pendant with Sky Light Blue Beads Necklace Set for Women,Jewellary,RET12,Kadapa
Men's Brown Leather Slip-On Sandals,Fashion,RET12,Kadapa
Gold Plated Traditional Long Necklace Set With Pearl And Stones For Women,Jewellary,RET12,Kadapa
Women's Fashionable Blue Rubber Flip Flops,Home Décor,RET16,Kadapa
Traditional Indian Necklace Set with Red Beads and Gold Pendant,Jewellary,RET12,Kadapa
Stunning Yellow Coral Beads Necklace with intricate Gold Plated Pendant,Jewellary,RET12,Kadapa
Stunning Red Coral Beads Necklace with intricate Gold Plated Pendant,Jewellary,RET12,Kadapa
Brown Leather Flip-Flops for Men,hand looms,RET12,Kadapa
Stunning Gold-Plated Pendant Necklace with Green Beads and Pearls,Jewellary,RET12,Kadapa
Men's Black Leather Flip-Flops with Blue Stitching,hand looms,RET12,Kadapa
Men's Brown Leather Slip-On Sandals,Fashion,RET12,Kadapa
Men's Brown Leather Cross Strap Sandals,Fashion,RET12,Kadapa
Women's Printed Flip-Flops,hand looms,RET12,Kadapa
Women's black casual slippers with a textured footbed and a buckle closure,,MISSING,Kadapa
AirGold Women's Black and White Geometric Design Rubber Flip-Flops,hand looms,RET12,Kadapa
Men's Brown Leather Flip Flops - Comfortable and Stylish Sandals,Fashion,RET12,Kadapa
Marvel Comics Kids' Slide Sandals,Fashion,RET12,Kadapa
Gold Plated Bangles With Green and Red Stone Set of 4 Size 2-10,Jewellary,RET12,Kadapa
Gold Plated Bangles With Green and Red Stone Set of 4 Size 2-8,Jewellary,RET12,Kadapa
Exquisite Set of 4 Gold Bangles with Intricate Diamond Cut Design Size 2-6,Jewellary,RET12,Kadapa
Gold Plated Textured Bangle Set of 4 Size 2-8,Jewellary,RET12,Kadapa
Gold Plated Bangles Set of 6 with Textured Finish Size 2-6,Jewellary,RET12,Kadapa
Gold Plated Bangles Set of 6 with Textured Finish Size 2-8,Jewellary,RET12,Kadapa
Gold Plated Bangles Set of 4 with Floral Design Size 2-8,Jewellary,RET12,Kadapa
Gold Plated Bangles Set of 4 with Floral Design Size 2-6,Jewellary,RET12,Kadapa
Gold Plated Bangles Set of 4 with Diamond Cut Design Size 2-6,Jewellary,RET12,Kadapa
Gold Plated Bangles Set of 4 with Diamond Cut Design Size 2-8,Jewellary,RET12,Kadapa
Gold Plated Twisted Bangles 4 Pcs Size 2-8,Jewellary,RET12,Kadapa
Gold Plated Twisted Bangles 4 Pcs Size 2-6,Jewellary,RET12,Kadapa
Gold Plated Twisted Bangles 4 Pcs Size 2-4,Jewellary,RET12,Kadapa
Gold Plated  5 Flower Pendant Necklace with Green Stones,Jewellary,RET12,Kadapa
Women's Fashionable PU Leather Handbag Casual Tote Bag with Silver Studs,Home Décor,RET16,Kadapa
Gold Plated Purple Amethyst Drop Earrings,Jewellary,RET12,Kadapa
oxidized Temple pendant with pearls Mala,,MISSING,Kadapa
Black Beads Necklace with Red Flower Pendants,Jewellary,RET12,Kadapa
Black beaded necklace with red and white pearl Pendant,Jewellary,RET12,Kadapa
Blue Sapphire and Pearl Beaded Chain Necklace in One Gram Gold,Jewellary,RET12,Kadapa
Gold Plated Pearl and Black Beads Chain Mangalasutra  for Women,Jewellary,RET12,Kadapa
CHICKEN PICKLE 250G,Kitchen,RET16,Kadapa
Black Beads Traditional Indian Mungalasuthra Set with Earrings for Women,Jewellary,RET12,Kadapa
PULIHORA PICKLE 100G,Kitchen,RET16,Kadapa
Georgette Saree With Blouse Piece,Fashion,RET12,Kadapa
Red Colour Embroidered Blouse Design With Zari and Stone Work,Fashion,RET12,Kadapa
Pink Color Embroidery Work Blouse With Zari And Stone Work For Women,Fashion,RET12,Kadapa
Purple Color Embroidery Work Blouse For Women,Fashion,RET12,Kadapa
Traditional Indian Bangle Set - Pink & White - Set of 2,Jewellary,RET12,Kadapa
Set of 4 Traditional Indian Bangle Bracelets with Rhinestones for Women and Girls,Jewellary,RET12,Kadapa
4 Piece Set Rhinestone and Pearl Bangles Set,Jewellary,RET12,Kadapa
Green Teapoy Table Cloth,hand looms,RET12,Kadapa
Diwan Set With 3 Pillow Covers and 2 Booster Covers,Home Décor,RET16,Kadapa
Blue Cute and cuddly twin teddy bears,Kids,RET12,Kadapa
Pink Cute and cuddly twin teddy bears,Kids,RET12,Kadapa
Handwoven Pink and Cream Straw Tote Bag with Double Handles,Home Décor,RET16,Kadapa
Handwoven Market Tote Bag,Home Décor,RET16,Kadapa
Handwoven Purple and Blue Plastic Basket with Double Handles,Home Décor,RET16,Kadapa
Handmade Jute Tote Bag with Embroidered Butterflies,Home Décor,RET16,Kadapa
Women's Embroidered Faux Leather Tote Bag with Zipper Closure and Double Handles,Home Décor,RET16,Kadapa
Tote Bag for Women,Home Décor,RET16,Kadapa
Jute Tote Bag with Floral and Parrot Print.,Home Décor,RET16,Kadapa
Embroidered Peacock Striped Tote Bag,Home Décor,RET16,Kadapa
NEXT Orange and White Striped Jute Bag,Home Décor,RET16,Kadapa
Eco Friendly - Reusable Jute Tote Bag,Home Décor,RET16,Kadapa
Yoga Poses Printed Jute Tote Bag,Home Décor,RET16,Kadapa
Stylish and Eco-Friendly Jute Tote Bag with Brown Faux Leather Handles,Home Décor,RET16,Kadapa
Blue Hand Embroidered Cotton Sling Bag with Mirror Work and Adjustable Strap,Home Décor,RET16,Kadapa
Handcrafted Floral Sling Bag with Adjustable Strap and Multiple Zippered Compartments for Women,Home Décor,RET16,Kadapa
Handwoven ikat sling bag with adjustable strap and zippered closure,Home Décor,RET16,Kadapa
Green Hand Embroidered Cotton Sling Bag with Adjustable Strap,Home Décor,RET16,Kadapa
Hand Embroidered Red Cotton Sling Bag with Mirror Work,Home Décor,RET16,Kadapa
Quilted cotton tote bag with mirror work in yellow color,Home Décor,RET16,Kadapa
Red Hand Embroidered Mirror Work Tote Bag with Adjustable Strap,Home Décor,RET16,Kadapa
Quilted Cotton Tote Bag with Embroidered Mirror Detail,Home Décor,RET16,Kadapa
Quilted cotton tote bag with mirror and bead embellishment,Home Décor,RET16,Kadapa
Green Hand Embroidered Mirror Work Tote Bag with Adjustable Strap,Home Décor,RET16,Kadapa
Small Beaded Handwoven Plastic Wire Bag,Home Décor,RET16,Kadapa
Handmade Blue and Yellow Market Bag,Home Décor,RET16,Kadapa
Colorful Handwoven Mexican Style Market Tote Bag with Reinforced Handles,Home Décor,RET16,Kadapa
Red and Yellow Handwoven Plastic Wire Bag,Home Décor,RET16,Kadapa
Small purple plastic basket with blue trim,Home Décor,RET16,Kadapa
Red and White Handwoven Plastic Tote Bag with Button Accents,Home Décor,RET16,Kadapa
Small Green and Pink Handwoven Market Tote Bag with Double Handles,Home Décor,RET16,Kadapa
Small Handwoven Market Tote Bag with Double Handles,Home Décor,RET16,Kadapa
Green Kundan Meenakari Necklace Set with Earrings and Maang Tikka,Jewellary,RET12,Kadapa
Handwoven Plastic Grocery Bag with Reinforced Handles,Home Décor,RET16,Kadapa
Red Embroidered A-Line Kurta with Mirror Work,,MISSING,Kadapa
Handmade Colorful Plastic Woven Tote Bag with Handles,Home Décor,RET16,Kadapa
Green Handwoven Plastic Bag with Double Handles,Home Décor,RET16,Kadapa
One Gram Gold Long Necklace Set with Earrings for Women,Jewellary,RET12,Kadapa
Gold Plated Bangle Set for Women - 4 Pieces,Jewellary,RET12,Kadapa
Butterfly Gold Plated Traditional Indian Necklace Set with Ruby and Pearl,Jewellary,RET12,Kadapa
"Gold-plated Design, perfect for Traditional Hip belt Occasions",Jewellary,RET12,Kadapa
Red and gold traditional Indian silk sari with intricate zari work,Jewellary,RET12,Kadapa
